safe_text,label,agreement
amp big homie meanboy3000 meanboy mb mbs mmr stegmanlife stegman st,0.0,1.0
im 100 thinking devoting career proving autism isnt caused vaccines due idiotic posts ive seen world autism day,1.0,1.0
whatcausesautism vaccines vaccinate child,-1.0,1.0
mean immunize kid something wont secretly kill years line im dont trust,-1.0,1.0
thanks user catch performing la nuit nyc 1134 1st ave show starts 6 jennifair mmr,0.0,1.0
user nearly 67 year old study mental health studies vaccines relatively infancies refuted,1.0,0.6666666666666666
study 95000 kids finds link mmr vaccine autism,1.0,0.6666666666666666
psa vaccinate fucking kids,1.0,1.0
coughing extra shuttle everyone thinks measles vaccinateyourkids,1.0,0.6666666666666666
aids vaccine created oregon health amp science university may clear virus body,1.0,0.6666666666666666
user point 2 text butwbon jovi cover playin alibis hope u come 2 mmr bbquser b,0.0,1.0
prediction vaccine exemption arizona end soon much money lost big pharma,0.0,0.6666666666666666
getting vaccines china nervous moving cheryl southern nevada health district,1.0,1.0
1mug noche user mmr mixmasterrod dcdj mmr mad hatter,0.0,1.0
got influenza vaccine purdue university student health push user,1.0,0.6666666666666666
sb121 enroll meningococcal diseasepupils immunized recommended age,0.0,0.6666666666666666
increasing number parents skip vaccinations childrencolumbia missourian columbia,0.0,1.0
user thank standing ca parents children support user vaccineswork,1.0,1.0
dude idc disney land measles means shorter lines rides im driving rn,0.0,1.0
beeftalk start calf vaccinations via user good article herd health,1.0,1.0
dont care user says probably get kids vaccinated,1.0,1.0
acr13 small study shows 10 pts lupus shingles vaccine safe needs confirmed larger study,1.0,0.6666666666666666
cdc measles epidemic poses travel risks usatlyixdtv1 yes true zombie epidemic closing us,0.0,1.0
every time see vaccinate debate wonder one side argument even children,1.0,1.0
user cdc lied hid data black boys 340 uncreased risk developing autism mmr cdcwhistleblower help,-1.0,1.0
user vaccines causing autism,-1.0,1.0
user rarely see arguments vaccination actually big deal,0.0,0.6666666666666666
im obsessed w ebola following outbreak worlds deadliest disease vaccine cure amp 90 death rate,1.0,0.6666666666666666
user joshthenewt suck game haha well people say dont mmr eh,0.0,1.0
dont shake hand pocahontas thats probably measles pocahontaslivetweet,0.0,0.6666666666666666
user yes im part public health like im part nature feed abandoned baby bird vaccinate privileged kids,1.0,1.0
new studies show vaccines associated autism news sky blue,1.0,1.0
repetitive could less shocked increase asd even genetically high risk vaccinate,1.0,1.0
glad got vaccinated user health alert case meningitis reported monmouth university,1.0,1.0
look like got measles,0.0,0.6666666666666666
user user defense vaccines harmful american life unhealthy,-1.0,0.3333333333333333
like hello ranked reset probably bad placements mmr went went lol,0.0,1.0
amid measles outbreak vaccines teachers arent required much attention ongoing measles,0.0,0.6666666666666666
user user user user user measles threat,0.0,0.6666666666666666
improve mood energy immunity cardio health 15 kit profit user thru 1111 sandy donate,0.0,1.0
mt user new vaccination bill would end exemptions 4personal religious via user,0.0,1.0
autism immunizations vaccinate,0.0,0.6666666666666666
bart riders warned measles infection contagious passenger oakland cbs sf bay area rapid transit,0.0,1.0
user us measles cases hit 15year high far year 118 cases measles reported unit,0.0,0.6666666666666666
pull myxx nightlife stint performing live hosted user supportyourown mmr,0.0,1.0
cdc eyeing bird flu vaccine humans though risk low federal officials said wednesday theyre taking steps,0.0,0.6666666666666666
involved fight measles vaccine preventable diseases tenure track opening user joinus,1.0,0.6666666666666666
user im vaccinating kids lol,-1.0,1.0
alleged victim reviewing immunity paperwork resume testimony wo fear blackmail prosecution,0.0,1.0
thanksuser crystal clear lack evidence linking mmr autism noticed measlesoutbreak autism,1.0,0.6666666666666666
user giving dvds vaccinating children bad,0.0,0.6666666666666666
hey nowuser mixmasterrod follow madhatterdc mmr mixmasterrods upstairs lounge,0.0,1.0
seriously dont want child antivaccination movement ended terrifying,1.0,1.0
user user user epidemic enterovirus mumps measles drug resistant tb next treason illegalimmigration,0.0,1.0
said wasnt gone shit lol looked like proved wrong rrr mmr srt10mg baby,0.0,1.0
flu shots school boost vaccination rates offering flu shots elementary schools could reduce number,0.0,0.6666666666666666
user 1 marin county school board sides young leukemia patient vaccinations gatebreakers,0.0,0.6666666666666666
still running niggas til death dibiasimb user mmr manymenrecords,0.0,1.0
user yeah ill stick regular vaccines oh wait gives autism,-1.0,0.6666666666666666
user antivaccine people want control people fear weaken herd immunityso anyone knows mind control,1.0,1.0
